RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
1,"R46336","12/30/2020","COVID-19: Potential Implications for International Security Environment-Overview of Issues and Further Reading for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46336/R46336.pdf/","13","04/30/2020"
2,"IF10524","12/30/2020","Defense Primer: Budgeting for National and Defense Intelligence","https://crsreports.congress.gov/product/pdf/download/IF/IF10524/IF10524.pdf/","10","12/05/2016"
3,"IF10574","12/30/2020","Defense Primer: Intelligence Support to Military Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10574/IF10574.pdf/","9","12/30/2016"
4,"IF11089","12/30/2020","Defense Primer: Military Commissaries and Exchanges","https://crsreports.congress.gov/product/pdf/download/IF/IF11089/IF11089.pdf/","7","01/31/2019"
5,"IF10525","12/30/2020","Defense Primer: National and Defense Intelligence","https://crsreports.congress.gov/product/pdf/download/IF/IF10525/IF10525.pdf/","10","12/05/2016"
6,"IF11531","12/30/2020","Defense Primer: National Security Space Launch","https://crsreports.congress.gov/product/pdf/download/IF/IF11531/IF11531.pdf/","2","05/01/2020"
7,"IF10523","12/30/2020","Defense Primer: Under Secretary of Defense for Intelligence and Security","https://crsreports.congress.gov/product/pdf/download/IF/IF10523/IF10523.pdf/","12","12/05/2016"
8,"R46284","12/29/2020","COVID-19 Relief Assistance to Small Businesses: Issues and Policy Options","https://crsreports.congress.gov/product/pdf/download/R/R46284/R46284.pdf/","40","03/25/2020"
9,"IF10541","12/29/2020","Defense Primer: Ballistic Missile Defense","https://crsreports.congress.gov/product/pdf/download/IF/IF10541/IF10541.pdf/","9","12/12/2016"
10,"IN11563","12/29/2020","Planning and Paying for College: Federal Government Resources","https://crsreports.congress.gov/product/pdf/download/IN/IN11563/IN11563.pdf/","1","12/29/2020"
11,"R44891","12/29/2020","U.S. Role in the World: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44891/R44891.pdf/","65","07/13/2017"
12,"R42784","12/29/2020","U.S.-China Strategic Competition in South and East China Seas: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42784/R42784.pdf/","120","10/24/2012"
13,"IF11700","12/29/2020","Water Resources Development Act of 2020","https://crsreports.congress.gov/product/pdf/download/IF/IF11700/IF11700.pdf/","2","12/10/2020"
14,"R46648","12/28/2020","Bank Supervision by Federal Regulators: Overview and Policy Issues","https://crsreports.congress.gov/product/pdf/download/R/R46648/R46648.pdf/","2","12/28/2020"
15,"IN11515","12/28/2020","FEMA Pre-Disaster Mitigation: The Building Resilient Infrastructure and Communities (BRIC) Program","https://crsreports.congress.gov/product/pdf/download/IN/IN11515/IN11515.pdf/","6","10/02/2020"
16,"IF10477","12/28/2020","Introduction to U.S. Economy: Inflation","https://crsreports.congress.gov/product/pdf/download/IF/IF10477/IF10477.pdf/","8","09/26/2016"
17,"IF11594","12/28/2020","New Census Bureau Products Track COVID-19's Effects","https://crsreports.congress.gov/product/pdf/download/IF/IF11594/IF11594.pdf/","3","07/07/2020"
18,"R45090","12/28/2020","Real Wage Trends, 1979 to 2019","https://crsreports.congress.gov/product/pdf/download/R/R45090/R45090.pdf/","13","02/05/2018"
19,"RL34391","12/23/2020","Coast Guard Polar Security Cutter (Polar Icebreaker) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL34391/RL34391.pdf/","205","02/26/2008"
20,"IN11562","12/23/2020","COVID-19 Impact on the Banking Industry: Conditions in the Third Quarter of 2020","https://crsreports.congress.gov/product/pdf/download/IN/IN11562/IN11562.pdf/","3","12/23/2020"
21,"R46304","12/23/2020","COVID-19: China Medical Supply Chains and Broader Trade Issues","https://crsreports.congress.gov/product/pdf/download/R/R46304/R46304.pdf/","6","04/06/2020"
