Title,source,source link,link,link date
DoD extends deadline for Tenant Satisfaction Survey ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477052/dod-extends-deadline-for-tenant-satisfaction-survey/,2021-01-29 14:10
"Dr. Martin Luther King Jr. Day: Remember, celebrate, act",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477066/dr-martin-luther-king-jr-day-remember-celebrate-act/,2021-01-29 14:10
SAF/IE Releases Installation Energy Strategic Plan for Energy Assurance,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477038/safie-releases-installation-energy-strategic-plan-for-energy-assurance/,2021-01-29 14:10
Air Force to host Virtual Industry Exchange for Wright-Patterson AFB ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2471393/air-force-to-host-virtual-industry-exchange-for-wright-patterson-afb/,2021-01-29 14:10
Meet the 2021 I-WEPTAC MAWG Chairs,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477054/meet-the-2021-i-weptac-mawg-chairs/,2021-01-29 14:10
Going the distance with AFCEC ultramarathoners ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2467425/going-the-distance-with-afcec-ultramarathoners/,2021-01-29 14:10
Department of the Air Force offers civilians more than 30 development programs,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2467354/department-of-the-air-force-offers-civilians-more-than-30-development-programs/,2021-01-29 14:10
"AFMC reinforces value of mentoring, AFMC We Need",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2467358/afmc-reinforces-value-of-mentoring-afmc-we-need/,2021-01-29 14:10
Sixth Annual Spread the Joy continues despite COVID-19,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2462550/sixth-annual-spread-the-joy-continues-despite-covid-19/,2021-01-29 14:10
Tyndall gets first x-ray system for gate vehicle checks,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2462493/tyndall-gets-first-x-ray-system-for-gate-vehicle-checks/,2021-01-29 14:10
RED HORSE Squadron teams up with Navy Seabees to construct B-Hut energy test site,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2457412/red-horse-squadron-teams-up-with-navy-seabees-to-construct-b-hut-energy-test-si/,2021-01-29 14:10
"AFCEC brings together engineers, senior leaders during virtual symposium",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2456860/afcec-brings-together-engineers-senior-leaders-during-virtual-symposium/,2021-01-29 14:10
Department of the Air Force releases findings on racial disparity review,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2456997/department-of-the-air-force-releases-findings-on-racial-disparity-review/,2021-01-29 14:10
AFCEC upgrades fuel capabilities at Andersen,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2441192/afcec-upgrades-fuel-capabilities-at-andersen/,2021-01-29 14:10
Work officially begins to replace Offutt’s aging runway,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2444567/work-officially-begins-to-replace-offutts-aging-runway/,2021-01-29 14:10
AF environmental study greenlights Edwards solar project,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2443262/af-environmental-study-greenlights-edwards-solar-project/,2021-01-29 14:10
Signed lease signals Kirtland research park underway,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2437681/signed-lease-signals-kirtland-research-park-underway/,2021-01-29 14:10
Annual DOD Housing Survey opens for tenant feedback Dec. 8,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2437163/annual-dod-housing-survey-opens-for-tenant-feedback-dec-8/,2021-01-29 14:10
