Title,source,source link,link,link date,downloaded on,download success,file name,file path
DoD extends deadline for Tenant Satisfaction Survey ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477052/dod-extends-deadline-for-tenant-satisfaction-survey/,2021-01-29 14:10,2021-01-29 21:23,True,DoD extends deadline for Tenant Satisfaction Survey .pdf,documents/parsed_text/AF_afcec/AF_afcec/DoD extends deadline for Tenant Satisfaction Survey .pdf
"Dr. Martin Luther King Jr. Day: Remember, celebrate, act",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477066/dr-martin-luther-king-jr-day-remember-celebrate-act/,2021-01-29 14:10,2021-01-29 21:23,True,"Dr. Martin Luther King Jr. Day: Remember, celebrate, act.pdf","documents/parsed_text/AF_afcec/AF_afcec/Dr. Martin Luther King Jr. Day: Remember, celebrate, act.pdf"
SAF/IE Releases Installation Energy Strategic Plan for Energy Assurance,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477038/safie-releases-installation-energy-strategic-plan-for-energy-assurance/,2021-01-29 14:10,N/A,False,SAF/IE Releases Installation Energy Strategic Plan for Energy Assurance.pdf,documents/parsed_text/AF_afcec/AF_afcec/SAF/IE Releases Installation Energy Strategic Plan for Energy Assurance.pdf
Air Force to host Virtual Industry Exchange for Wright-Patterson AFB ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2471393/air-force-to-host-virtual-industry-exchange-for-wright-patterson-afb/,2021-01-29 14:10,2021-01-29 21:23,True,Air Force to host Virtual Industry Exchange for Wright-Patterson AFB .pdf,documents/parsed_text/AF_afcec/AF_afcec/Air Force to host Virtual Industry Exchange for Wright-Patterson AFB .pdf
Meet the 2021 I-WEPTAC MAWG Chairs,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2477054/meet-the-2021-i-weptac-mawg-chairs/,2021-01-29 14:10,2021-01-29 21:23,True,Meet the 2021 I-WEPTAC MAWG Chairs.pdf,documents/parsed_text/AF_afcec/AF_afcec/Meet the 2021 I-WEPTAC MAWG Chairs.pdf
Going the distance with AFCEC ultramarathoners ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2467425/going-the-distance-with-afcec-ultramarathoners/,2021-01-29 14:10,2021-01-29 21:23,True,Going the distance with AFCEC ultramarathoners .pdf,documents/parsed_text/AF_afcec/AF_afcec/Going the distance with AFCEC ultramarathoners .pdf
Department of the Air Force offers civilians more than 30 development programs,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2467354/department-of-the-air-force-offers-civilians-more-than-30-development-programs/,2021-01-29 14:10,2021-01-29 21:23,True,Department of the Air Force offers civilians more than 30 development programs.pdf,documents/parsed_text/AF_afcec/AF_afcec/Department of the Air Force offers civilians more than 30 development programs.pdf
"AFMC reinforces value of mentoring, AFMC We Need",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2467358/afmc-reinforces-value-of-mentoring-afmc-we-need/,2021-01-29 14:10,2021-01-29 21:23,True,"AFMC reinforces value of mentoring, AFMC We Need.pdf","documents/parsed_text/AF_afcec/AF_afcec/AFMC reinforces value of mentoring, AFMC We Need.pdf"
Sixth Annual Spread the Joy continues despite COVID-19,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2462550/sixth-annual-spread-the-joy-continues-despite-covid-19/,2021-01-29 14:10,2021-01-29 21:23,True,Sixth Annual Spread the Joy continues despite COVID-19.pdf,documents/parsed_text/AF_afcec/AF_afcec/Sixth Annual Spread the Joy continues despite COVID-19.pdf
Tyndall gets first x-ray system for gate vehicle checks,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2462493/tyndall-gets-first-x-ray-system-for-gate-vehicle-checks/,2021-01-29 14:10,2021-01-29 21:23,True,Tyndall gets first x-ray system for gate vehicle checks.pdf,documents/parsed_text/AF_afcec/AF_afcec/Tyndall gets first x-ray system for gate vehicle checks.pdf
