Title,source,source link,link,link date,downloaded on,download success,file name,file path
FORMAL TRAINING ADMINISTRATION AND MANAGEMENT - AIRLIFT AND TANKER,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/aetci36-2605v7_altusafbsup/aetci36_2605v7_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:30,True,aetci36_2605v7_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/aetci36_2605v7_altusafbsup.pdf
KC-135 AIRCREW EVALUATION CRITERIA,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi11-2kc-135v2_altusafbsup_i/afi11-2kc-135v2_altusafbsup_i.pdf,2021-01-29 14:01,2021-01-29 22:30,True,afi11-2kc-135v2_altusafbsup_i.pdf,../documents/pdfs/AF_epubs/bases/afi11-2kc-135v2_altusafbsup_i.pdf
AIRFIELD OPERATIONS PROCEDURES AND PROGRAMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi13-204v3_aetcsup_altusafbsup_i/afi13-204v3_aetcsup_altusafbsup_i.pdf,2021-01-29 14:01,2021-01-29 22:30,True,afi13-204v3_aetcsup_altusafbsup_i.pdf,../documents/pdfs/AF_epubs/bases/afi13-204v3_aetcsup_altusafbsup_i.pdf
AIRFIELD DRIVING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi13-213_altusafbsup/afi13-213_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:30,True,afi13-213_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi13-213_altusafbsup.pdf
AIRCRAFT AND EQUIPMENT MAINTENANCE MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi21-101_aetcsup_altusafbsup/afi21-101_aetcsup_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:30,True,afi21-101_aetcsup_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi21-101_aetcsup_altusafbsup.pdf
MOTOR VEHICLE TRAFFIC SUPERVISION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi31-218_ip_altusafbsup/afi31-218i_ip_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:30,True,afi31-218i_ip_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi31-218i_ip_altusafbsup.pdf
ALTUS AFB FIRE EMERGENCY SERVICES PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi32-2001_altusafbsup/afi_32-2001_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:30,True,afi_32-2001_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi_32-2001_altusafbsup.pdf
FAMILY HOUSING MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi32-6001_altusafbsup/afi32-6001_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afi32-6001_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi32-6001_altusafbsup.pdf
HAZARDOUS MATERIALS MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi32-7086_aetcsup_altusafbsup/afi32-7086_aetcsup_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afi32-7086_aetcsup_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi32-7086_aetcsup_altusafbsup.pdf
ALCOHOLIC BEVERAGE PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi34-219_altusafbsup/afi34-219_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afi34-219_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi34-219_altusafbsup.pdf
Fitness And Sports Program,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi34-266_altusafbsup/afi34-266_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afi34-266_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi34-266_altusafbsup.pdf
SPECIAL TROPHIES AND AWARDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/afi36-2805_altusafbsup/afi36-2805_altusafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afi36-2805_altusafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi36-2805_altusafbsup.pdf
VEHICLE ENGINE NO-IDLE POLICY,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafb24-303/altusafb24-303.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafb24-303.pdf,../documents/pdfs/AF_epubs/bases/altusafb24-303.pdf
FUNCTIONAL CHECK FLIGHT/OPERATIONAL CHECK FLIGHT PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbi11-1001/altusafbi11-1001.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafbi11-1001.pdf,../documents/pdfs/AF_epubs/bases/altusafbi11-1001.pdf
WEATHER SUPPORT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbi15-101/altusafbi15-101.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafbi15-101.pdf,../documents/pdfs/AF_epubs/bases/altusafbi15-101.pdf
BASE PARKING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbi32-101/altusafb32-101.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafb32-101.pdf,../documents/pdfs/AF_epubs/bases/altusafb32-101.pdf
Key and Lock Control for Base Facilities,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbi32-6006/altusafbi32-6006.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafbi32-6006.pdf,../documents/pdfs/AF_epubs/bases/altusafbi32-6006.pdf
HAZARDOUS MATERIALS MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbi32-7086/altusafbi32-7086.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafbi32-7086.pdf,../documents/pdfs/AF_epubs/bases/altusafbi32-7086.pdf
ALTUSAFBI48-148 - COMBINED RADIATION PROTECTION PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbi48-148/altusafbi48-148.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafbi48-148.pdf,../documents/pdfs/AF_epubs/bases/altusafbi48-148.pdf
97th AMW IG Complaints Resolution and Inspection Program,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/altusafb/publication/altusafbva90-1/altusafbva90-1.pdf,2021-01-29 14:01,2021-01-29 22:31,True,altusafbva90-1.pdf,../documents/pdfs/AF_epubs/bases/altusafbva90-1.pdf
FLYING OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/andersenafb/publication/afi11-418_andersonafbsup/afi11-418_andersonafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afi11-418_andersonafbsup.pdf,../documents/pdfs/AF_epubs/bases/afi11-418_andersonafbsup.pdf
B-52--OPERATIONS PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/andersenafb/publication/afman11-2b-52v3_andersenafbsup/afman11-2b-52v3_andersenafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afman11-2b-52v3_andersenafbsup.pdf,../documents/pdfs/AF_epubs/bases/afman11-2b-52v3_andersenafbsup.pdf
EXPLOSIVES SAFETY STANDARDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/andersenafb/publication/afman91-201_andersenafbsup/afman91-201_andersenafbsup.pdf,2021-01-29 14:01,2021-01-29 22:31,True,afman91-201_andersenafbsup.pdf,../documents/pdfs/AF_epubs/bases/afman91-201_andersenafbsup.pdf
Crisis Action Team,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/arnoldafb/publication/aedci10-100/aedci10-100.pdf,2021-01-29 14:01,2021-01-29 22:31,True,aedci10-100.pdf,../documents/pdfs/AF_epubs/bases/aedci10-100.pdf
NOTIFICATION RECALL AND ALERT PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/arnoldafb/publication/aedci10-201/aedci10-201.pdf,2021-01-29 14:01,2021-01-29 22:31,True,aedci10-201.pdf,../documents/pdfs/AF_epubs/bases/aedci10-201.pdf
FOREIGN OBJECT DAMAGE (FOD) PREVENTION PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/arnoldafb/publication/aedci21-111/aedci21-111.pdf,2021-01-29 14:01,2021-01-29 22:31,True,aedci21-111.pdf,../documents/pdfs/AF_epubs/bases/aedci21-111.pdf
