Title,source,source link,link,link date,downloaded on,download success,file name,file path
2T0X1 F-35 Air Force Job Qualification Standard,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/2t0x1_f-35_afjqs/2t0x1_f-35_afjqs.pdf,2021-01-29 14:28,2021-01-29 22:04,True,2t0x1_f-35_afjqs.pdf,../documents/pdfs/AF_epubs/departmental/2t0x1_f-35_afjqs.pdf
Air Force Guidance Memorandum for Career Intermission Program (CIP),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afgm2019-36-04/afgm2019-36-04.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afgm2019-36-04.pdf,../documents/pdfs/AF_epubs/departmental/afgm2019-36-04.pdf
Controlled Unclassified Information,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/saf_aa/publication/afgm2020-16-01/afgm2020-16-01.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afgm2020-16-01.pdf,../documents/pdfs/AF_epubs/departmental/afgm2020-16-01.pdf
Civil Engineer Enterprise Governance for Information Technology,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afgm2020-32-01/afgm2020-32-01.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afgm2020-32-01.pdf,../documents/pdfs/AF_epubs/departmental/afgm2020-32-01.pdf
Career Field Education Training Plans for Civil Engineer Federal Wage System Series,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afgm2020-32-03/afgm2020-32-03.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afgm2020-32-03.pdf,../documents/pdfs/AF_epubs/departmental/afgm2020-32-03.pdf
Establishing Requirements of Lactation Rooms for Nursing Mothers,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afgm2020-36-01/afgm2020-36-01.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afgm2020-36-01.pdf,../documents/pdfs/AF_epubs/departmental/afgm2020-36-01.pdf
ANTHROPOMETRIC DESIGN SPECIFICATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/saf_aq/publication/afgm2020-63-148-01/afgm2020-63-148-01.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afgm2020-63-148-01.pdf,../documents/pdfs/AF_epubs/departmental/afgm2020-63-148-01.pdf
CIVIL ENGINEER BARE BASE DEVELOPMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh10-222v1/afh10-222v1.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afh10-222v1.pdf,../documents/pdfs/AF_epubs/departmental/afh10-222v1.pdf
"CIVIL ENGINEER CAMOUFLAGE, CONCEALMENT, AND DECEPTION MEASURES",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh10-222v10/afh10-222v10.pdf,2021-01-29 14:28,2021-01-29 22:04,True,afh10-222v10.pdf,../documents/pdfs/AF_epubs/departmental/afh10-222v10.pdf
CONTINGENCY WATER SYSTEM INSTALLATION AND OPERATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh10-222v11/afh10-222v11.pdf,2021-01-29 14:28,,False,None,None
GUIDE TO BARE BASE MECHANICAL SYSTEMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4_7/publication/afh10-222v12/afh10-222v12.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh10-222v12.pdf,../documents/pdfs/AF_epubs/departmental/afh10-222v12.pdf
"CIVIL ENGINEER GUIDE TO FIGHTING POSITIONS, SHELTERS, OBSTACLES, AND REVETMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4_7/publication/afh10-222v14/afh10-222v14.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh10-222v14.pdf,../documents/pdfs/AF_epubs/departmental/afh10-222v14.pdf
GUIDE TO BARE BASE ASSETS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3_5/publication/afh10-222v2/afh10-222v2.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh10-222v2.pdf,../documents/pdfs/AF_epubs/departmental/afh10-222v2.pdf
ENVIRONMENTAL CONSIDERATIONS FOR OVERSEAS CONTINGENCY OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3_5/publication/afh10-222v4/afh10-222v4.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh10-222v4.pdf,../documents/pdfs/AF_epubs/departmental/afh10-222v4.pdf
Vehicle Bomb Mitigation Guide (VBMG) (FOUO),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh10-2401/generic_restricted.pdf,2021-01-29 14:28,2021-01-29 22:07,True,generic_restricted.pdf,../documents/pdfs/AF_epubs/departmental/generic_restricted.pdf
GUIDE TO SERVICES CONTINGENCY PLANNING: MORTUARY AFFAIRS SEARCH AND RECOVERY,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/etc/afh10-247v4.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh10-247v4.pdf,../documents/pdfs/AF_epubs/departmental/afh10-247v4.pdf
Survival Evasion Resistance Escape (SERE) Operations,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3/publication/afh10-644/afh10-644.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh10-644.pdf,../documents/pdfs/AF_epubs/departmental/afh10-644.pdf
WEATHER FOR AIRCREWS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3_5/publication/afh11-203v1/afh11-203v1.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh11-203v1.pdf,../documents/pdfs/AF_epubs/departmental/afh11-203v1.pdf
WEATHER FOR AIRCREWS-PRODUCTS AND SERVICES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3/publication/afh11-203v2/afh11-203v2.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh11-203v2.pdf,../documents/pdfs/AF_epubs/departmental/afh11-203v2.pdf
METEOROLOGICAL TECHNIQUES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3/publication/afh15-101/afh15-101.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh15-101.pdf,../documents/pdfs/AF_epubs/departmental/afh15-101.pdf
ARMY WEATHER OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a3/publication/afh15-158/afh15-158.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh15-158.pdf,../documents/pdfs/AF_epubs/departmental/afh15-158.pdf
NATIONAL INTEREST DETERMINATION HANDBOOK,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/saf_aa/publication/afh16-1406/afh16-1406.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh16-1406.pdf,../documents/pdfs/AF_epubs/departmental/afh16-1406.pdf
MATERIEL MANAGEMENT REFERENCE INFORMATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh23-123v1/afh23-123v1.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh23-123v1.pdf,../documents/pdfs/AF_epubs/departmental/afh23-123v1.pdf
"INTEGRATED LOGISTICS SYSTEM-SUPPLY (ILS-S), MATERIEL MANAGEMENT OPERATIONS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh23-123v2pt1/afh23-123v2pt1.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh23-123v2pt1.pdf,../documents/pdfs/AF_epubs/departmental/afh23-123v2pt1.pdf
"INTEGRATED LOGISTICS SYSTEM-SUPPLY (ILS-S), STANDARD BASE SUPPLY SYSTEM OPERATIONS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh23-123v2pt2/afh23-123v2pt2.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh23-123v2pt2.pdf,../documents/pdfs/AF_epubs/departmental/afh23-123v2pt2.pdf
"INTEGRATED LOGISTICS SYSTEM-SUPPLY (ILS-S), STANDARD BASE SUPPLY SYSTEM REFERENCE",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh23-123v2pt3/afh23-123v2pt3.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh23-123v2pt3.pdf,../documents/pdfs/AF_epubs/departmental/afh23-123v2pt3.pdf
"INTEGRATED LOGISTICS SYSTEM-SUPPLY (ILS-S), ANCILLARY COMPONENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh23-123v2pt4/afh23-123v2pt4.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh23-123v2pt4.pdf,../documents/pdfs/AF_epubs/departmental/afh23-123v2pt4.pdf
AIR FORCE EQUIPMENT MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh23-123v3/afh23-123v3.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh23-123v3.pdf,../documents/pdfs/AF_epubs/departmental/afh23-123v3.pdf
MATERIALS TESTING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh32-1034/afh32-1034.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh32-1034.pdf,../documents/pdfs/AF_epubs/departmental/afh32-1034.pdf
CATHODIC PROTECTION FIELD TESTING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh32-1290(i)/afh32-1290(i).pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh32-1290(i).pdf,../documents/pdfs/AF_epubs/departmental/afh32-1290(i).pdf
AICUZ PROGRAM MANAGER’S GUIDE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a4/publication/afh32-7084/afh32-7084.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh32-7084.pdf,../documents/pdfs/AF_epubs/departmental/afh32-7084.pdf
THE TONGUE AND QUILL,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/saf_cn/publication/afh33-337/afh33-337.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh33-337.pdf,../documents/pdfs/AF_epubs/departmental/afh33-337.pdf
Visual Information,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/saf_pa/publication/afh35-115/afh35-115.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh35-115.pdf,../documents/pdfs/AF_epubs/departmental/afh35-115.pdf
INFORMATION FOR DESIGNERS OF INSTRUCTIONAL SYSTEMS -ISD EXECUTIVE SUMMARY FOR COMMANDERS AND MANAGERS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afh36-2235v1/afh36-2235v1.pdf,2021-01-29 14:28,2021-01-29 22:07,True,afh36-2235v1.pdf,../documents/pdfs/AF_epubs/departmental/afh36-2235v1.pdf
