Title,source,source link,link,link date,downloaded on,download success,file name,file path
AIR FORCE DISTRICT OF WASHINGTON (AFDW)/320 AEW AIR FORCE FORCES OPERATIONS CENTER,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwi10-2/afdwi10-2.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwi10-2.pdf,../documents/pdfs/AF_epubs/dru/afdwi10-2.pdf
CONTINUITY OF OPERATIONS (COOP) PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwi10-208/afdwi10-208.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwi10-208.pdf,../documents/pdfs/AF_epubs/dru/afdwi10-208.pdf
SECURITY FORCES SPECIALIZED MISSIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwi31-104/afdwi31-104_.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwi31-104_.pdf,../documents/pdfs/AF_epubs/dru/afdwi31-104_.pdf
CEREMONIAL RESOURCE SUPPORT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwi34-101/afdwi34-101.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwi34-101.pdf,../documents/pdfs/AF_epubs/dru/afdwi34-101.pdf
AIR FORCE MEMORIAL OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwi84-100/afdwi84-100.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwi84-100.pdf,../documents/pdfs/AF_epubs/dru/afdwi84-100.pdf
OPERATION OF THE GENERAL JACOB E. SMART CONFERENCE CENTER,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwi90-100/afdwi90-100.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwi90-100.pdf,../documents/pdfs/AF_epubs/dru/afdwi90-100.pdf
HEADQUARTERS AIR FORCE DISTRICT OF WASHINGTON (HQ AFDW),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwmd131/afdwmd131.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwmd131.pdf,../documents/pdfs/AF_epubs/dru/afdwmd131.pdf
11TH WING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwmd133/afdwmd133.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwmd133.pdf,../documents/pdfs/AF_epubs/dru/afdwmd133.pdf
844TH COMMUNICATIONS GROUP AIR FORCE DISTRICT OF WASHINGTON,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afdwmd135/afdwmd135.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afdwmd135.pdf,../documents/pdfs/AF_epubs/dru/afdwmd135.pdf
FORCE READINESS REPORTING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afdw/publication/afi10-201_afdwsup/afi10-201_afdwsup.pdf,2021-01-29 14:35,2021-01-29 22:29,True,afi10-201_afdwsup.pdf,../documents/pdfs/AF_epubs/dru/afi10-201_afdwsup.pdf
