Title,source,source link,link,link date
AUDIT SERVICE EXECUTION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afaa/publication/afaai65-101/afaai65-101.pdf,2021-01-29 14:39
"CIVILIAN TRAINING, EDUCATION, AND PROFESSIONAL DEVELOPMENT",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afaa/publication/afi36-401_afaasup/afi36-401_afaasup.pdf,2021-01-29 14:39
COMMAND LANGUAGE PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afisra/publication/afisrai14-131/afisrai14-131.pdf,2021-01-29 14:39
REQUIREMENTS DETERMINANT PROCESS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afma/publication/afmaai38-102/afmaai38-102.pdf,2021-01-29 14:39
AIR FORCE CONTINUITY OF OPERATIONS (COOP) PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi10-208_afosisup-o/afi10-208_afosisup-o.pdf,2021-01-29 14:39
AIR FORCE OPERATIONS PLANNING AND EXECUTON,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi10-401_afosisup-o/afi10-401_afosisup-o.pdf,2021-01-29 14:39
DEPLOYMENT PLANNING AND EXECUTION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi10-403_afosisup/afi10-403_afosisup.pdf,2021-01-29 14:39
PERSONNEL SECURITY PROGRAM MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi31-501_afosisup/generic_stocked_and_issued.pdf,2021-01-29 14:39
PUBLICATIONS AND FORMS MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi33-360_afosisup/afi33-360_afosisup.pdf,2021-01-29 14:39
PUBLIC WEB COMMUNICATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi35-107_afosisup/afi35-107_afosisup.pdf,2021-01-29 14:39
AIR FORCE TRAINING PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-2201_afosisup/afi36-2201_afosisup.pdf,2021-01-29 14:39
THE AIR FORCE AWARDS AND DECORATIONS PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-2803_afosisup/afi36-2803_afosisup.pdf,2021-01-29 14:39
DRESS AND PERSONAL APPEARANCE OF AIR FORCE PERSONNEL,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-2903_afosisup-o/afi36-2903_afosisup-o.pdf,2021-01-29 14:39
MILITARY LEAVE PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-3003_afosisup/afi36-3003_afosisup.pdf,2021-01-29 14:39
ADMINISTRATION OF MILITARY JUSTICE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi51-201_afosisup/afi51-201_afosisup.pdf,2021-01-29 14:39
"HISTORICAL PRODUCTS, SERVICES, AND REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi84-101_afosisup/afi84-101_afosisup.pdf,2021-01-29 14:39
"ORGANIZATIONAL LINEAGE, HONORS, AND HERALDRY",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi84-105_afosisup/afi84-104_afosisup.pdf,2021-01-29 14:39
THE AIR FORCE INSPECTION SYSTEM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi90-201_afosisup/afii90-201_afosisup.pdf,2021-01-29 14:39
AFOSI TECHNICAL SURVEILLANCE COUNTERMEASURES SPECIALIST,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afjqs7s0xx-o/afjqs7s0xx-o.pdf,2021-01-29 14:39
PREPARING OFFICIAL COMMUNICATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afman33-326_afosisup/afman33-326_afosisup.pdf,2021-01-29 14:39
AWARDS AND MEMORIALIZATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afman36-2806_afosisup/afman36-2806_afosisup.pdf,2021-01-29 14:39
"QUARTERLY AND ANNUAL AWARDS PROGRAM FOR OUTSTANDING OFFICERS, AIRMEN, AND CIVILIANS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosihoi36-2806/afosihoi36-2806.pdf,2021-01-29 14:39
PROGRAMMING ACTION DIRECTIVE AND PROGRAMMING PLAN,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii10-501/afosii10-501.pdf,2021-01-29 14:39
LOGISTICS MANAGEMENT (FOUO),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii20-501-o/afosii20-501-o.pdf,2021-01-29 14:39
AFOSI SUPPORT TO NUCLEAR CONVOY MOVEMENTS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii31-101/afosii31-101.pdf,2021-01-29 14:39
ADMINISTRATIVE COMMUNICATIONS AND INFORMATION AND DISTRIBUTION CENTER PROCESS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii33-302-o/afosii33-302-o.pdf,2021-01-29 14:39
PUBLIC AFFAIRS POLICIES AND PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii35-101/afosii35-101.pdf,2021-01-29 14:39
CIVILIAN PERSONNEL ADMINSTRATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii36-101/afosii36-101.pdf,2021-01-29 14:39
CIVILIAN PERSONNEL,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii36-201/afosii36-201.pdf,2021-01-29 14:39
STAFFING AFOSI CIVILIAN POSITIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii36-203/restricted_access.pdf,2021-01-29 14:39
