Title,source,source link,link,link date,downloaded on,download success,file name,file path
AUDIT SERVICE EXECUTION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afaa/publication/afaai65-101/afaai65-101.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afaai65-101.pdf,../documents/pdfs/AF_epubs/foa/afaai65-101.pdf
"CIVILIAN TRAINING, EDUCATION, AND PROFESSIONAL DEVELOPMENT",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afaa/publication/afi36-401_afaasup/afi36-401_afaasup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi36-401_afaasup.pdf,../documents/pdfs/AF_epubs/foa/afi36-401_afaasup.pdf
COMMAND LANGUAGE PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afisra/publication/afisrai14-131/afisrai14-131.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afisrai14-131.pdf,../documents/pdfs/AF_epubs/foa/afisrai14-131.pdf
REQUIREMENTS DETERMINANT PROCESS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afma/publication/afmaai38-102/afmaai38-102.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afmaai38-102.pdf,../documents/pdfs/AF_epubs/foa/afmaai38-102.pdf
AIR FORCE CONTINUITY OF OPERATIONS (COOP) PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi10-208_afosisup-o/afi10-208_afosisup-o.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi10-208_afosisup-o.pdf,../documents/pdfs/AF_epubs/foa/afi10-208_afosisup-o.pdf
AIR FORCE OPERATIONS PLANNING AND EXECUTON,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi10-401_afosisup-o/afi10-401_afosisup-o.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi10-401_afosisup-o.pdf,../documents/pdfs/AF_epubs/foa/afi10-401_afosisup-o.pdf
DEPLOYMENT PLANNING AND EXECUTION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi10-403_afosisup/afi10-403_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi10-403_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi10-403_afosisup.pdf
PERSONNEL SECURITY PROGRAM MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi31-501_afosisup/generic_stocked_and_issued.pdf,2021-01-29 14:39,2021-01-29 22:02,True,generic_stocked_and_issued.pdf,../documents/pdfs/AF_epubs/foa/generic_stocked_and_issued.pdf
PUBLICATIONS AND FORMS MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi33-360_afosisup/afi33-360_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi33-360_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi33-360_afosisup.pdf
PUBLIC WEB COMMUNICATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi35-107_afosisup/afi35-107_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi35-107_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi35-107_afosisup.pdf
AIR FORCE TRAINING PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-2201_afosisup/afi36-2201_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi36-2201_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi36-2201_afosisup.pdf
THE AIR FORCE AWARDS AND DECORATIONS PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-2803_afosisup/afi36-2803_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi36-2803_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi36-2803_afosisup.pdf
DRESS AND PERSONAL APPEARANCE OF AIR FORCE PERSONNEL,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-2903_afosisup-o/afi36-2903_afosisup-o.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi36-2903_afosisup-o.pdf,../documents/pdfs/AF_epubs/foa/afi36-2903_afosisup-o.pdf
MILITARY LEAVE PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi36-3003_afosisup/afi36-3003_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi36-3003_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi36-3003_afosisup.pdf
ADMINISTRATION OF MILITARY JUSTICE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi51-201_afosisup/afi51-201_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi51-201_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi51-201_afosisup.pdf
