Title,source,source link,link,link date,downloaded on,download success,file name,file path
TARGETING REACHBACK HANDBOOK,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acch14-203-o/releasability_wms.pdf,2021-01-29 16:09,2021-01-29 22:22,True,releasability_wms.pdf,../documents/pdfs/AF_epubs/majcom/releasability_wms.pdf
INTELLIGENCE OVERSIGHT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acch14-404/acch14-404.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acch14-404.pdf,../documents/pdfs/AF_epubs/majcom/acch14-404.pdf
HQ AIR COMBAT COMMAND (ACC) OPERATIONS CENTER (OC),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci10-255/acci10-255.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci10-255.pdf,../documents/pdfs/AF_epubs/majcom/acci10-255.pdf
DEVELOPMENT AND IMPLEMENTATION OF PROGRAMMING PLANS AND PROGRAMMING MESSAGES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci10-550/acci10-550.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci10-550.pdf,../documents/pdfs/AF_epubs/majcom/acci10-550.pdf
AIR COMBAT COMMAND (ACC) ELECTRONIC ATTACK TRAINING AND EMISSIONS CONTROL (EMCON) PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci10-707/acci10-707.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci10-707.pdf,../documents/pdfs/AF_epubs/majcom/acci10-707.pdf
ACC OPERATIONS TRAINING DEVELOPMENT PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci11-251/acci11-251.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci11-251.pdf,../documents/pdfs/AF_epubs/majcom/acci11-251.pdf
ACC FORMAL OPERATIONS TRAINING PUBLICATION MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci11-252/acci11-252.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci11-252.pdf,../documents/pdfs/AF_epubs/majcom/acci11-252.pdf
OPERATIONS MOBILE DEVICES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci11-270/acci11-270.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci11-270.pdf,../documents/pdfs/AF_epubs/majcom/acci11-270.pdf
OPERATIONAL PROCEDURES-THUNDERBIRDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci11-401/acci11-401.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci11-401.pdf,../documents/pdfs/AF_epubs/majcom/acci11-401.pdf
TRAINING RECORDS AND PERFORMANCE EVALUATION IN FORMAL FLYING TRAINING PROGRAMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/acc/publication/acci11-464/acci11-464.pdf,2021-01-29 16:09,2021-01-29 22:22,True,acci11-464.pdf,../documents/pdfs/AF_epubs/majcom/acci11-464.pdf
