Title,source,source link,link,link date,downloaded on,download success,file name,file path
AIR FORCE CONTINUITY OF OPERATIONS (COOP) PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi10-208_angsup/afi10-208_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi10-208_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi10-208_angsup.pdf
ANTITERRORISM (AT),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi10-245_angsup/afi10-245_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi10-245_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi10-245_angsup.pdf
AIR FORCE OPERATIONS PLANNING AND EXECUTION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi10-401_angsup/afi10-401_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi10-401_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi10-401_angsup.pdf
MOBILIZATION PLANNING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi10-402_angsup/afi10-402_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi10-402_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi10-402_angsup.pdf
BASE SUPPORT AND EXPEDITIONARY (BAS&E) SITE PLANNING,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi10-404_angsup/afi10-404_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi10-404_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi10-404_angsup.pdf
AERIAL EVENT POLICY AND PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi11-209_angsup/afi11-209_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi11-209_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi11-209_angsup.pdf
AVIATION MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi11-401_angsup_i/afi11-401_angsup_i.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi11-401_angsup_i.pdf,../documents/pdfs/AF_epubs/natlguard/afi11-401_angsup_i.pdf
AIRFIELD OPERATIONS STANDARDIZATION AND EVALUATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi13-204v2_angsup/afi13-204v2_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi13-204v2_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi13-204v2_angsup.pdf
AIRFIELD OPERATIONS PROCEDURES AND PROGRAMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi13-204v3_angsup_i/afi13-204v3_angsup_i.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi13-204v3_angsup_i.pdf,../documents/pdfs/AF_epubs/natlguard/afi13-204v3_angsup_i.pdf
AIRCRAFT AND EQUIPMENT MAINTENANCE MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi21-101_angsup/afi21-101_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi21-101_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi21-101_angsup.pdf
"EQUIPMENT INVENTORY, STATUS, AND UTILIZATION REPORTINGSYSTEM RC-26B MINIMUM ESSENTIAL SUBSYSTEM LIST (MESL)",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi21-103_angsup_add-a/afi21-103_angsup_add-a.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi21-103_angsup_add-a.pdf,../documents/pdfs/AF_epubs/natlguard/afi21-103_angsup_add-a.pdf
MATERIEL MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi23-101_angsup/afi23-101_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi23-101_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi23-101_angsup.pdf
AIR FORCE WAR RESERVE MATERIEL (WRM) POLICIES AND GUIDANCE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi25-101_angsup/afi25-101_angsup.pdf,2021-01-29 16:11,2021-01-29 22:22,True,afi25-101_angsup.pdf,../documents/pdfs/AF_epubs/natlguard/afi25-101_angsup.pdf
INTEGRATED DEFENSE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ang/publication/afi31-101_angsup/restricted_access.pdf,2021-01-29 16:11,2021-01-29 22:22,True,restricted_access.pdf,../documents/pdfs/AF_epubs/natlguard/restricted_access.pdf
