Title,source,source link,link,link date
11 AF OPERATIONAL SUPPORT AIRLIFT (OSA) MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11af/publication/11afi13-206/11afi13-206.pdf,2021-01-30 20:24
PERSONNEL STATUS FOR NATIONAL GUARD MEMBERS DURING RESCUE MISSIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/11afi36-2001/11afi36-2001.pdf,2021-01-30 20:24
PERSONNEL STATUS WITHIN THE 176TH AIR CONTROL SQUADRON (ANG),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/11afi38-101/11afi38-101.pdf,2021-01-30 20:24
ANNUAL CERTIFICATION OF PRSC AIRCRAFT ARRESTING SYSTEMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11af/publication/afi32-1043_11afsup/afi32-1043_11afsup.pdf,2021-01-30 20:24
TEMPORARY HOUSING ALLOWANCE (TLA) IN ALASKA,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/jftrv1_11afsup/jftrv1_11afsup.pdf,2021-01-30 20:24
ENVIRONMENTAL SUPPORT FOR AIR SOVEREIGNTY AND AIR DEFENSE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/nr15-1_anrsup1/nr15-1_anrsup1.pdf,2021-01-30 20:24
FIFTH AIR FORCE OPERATIONAL AND UNUSUAL EVENT REPORTING PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5_af/publication/5afi10-206/5afi10-206.pdf,2021-01-30 20:24
EMPLOYMENT AND REPORTING OF THIRD COUNTRY NATIONALS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-101/5afi36-101.pdf,2021-01-30 20:24
PERSONNEL ADMINISTRATION OF MASTER LABOR CONTRACT (MLC) AND INDIRECT HIRE AGREEMENT (IHA) EMPLOYEES (PA),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-102/5afi36-102.pdf,2021-01-30 20:24
INDIRECT HIRE AGREEMENT (IHA) PERSONNEL AND EMPLOYMENT COST REPORT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-108/5afi36-108_release_doc.pdf,2021-01-30 20:24
SECURITY REVIEW BOARDS AND INTERNAL ADMINISTRATIVE PROCEDURES FOR MLC AND IHA SECURITY CASES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-112/5afi36-112.pdf,2021-01-30 20:24
CRIMINAL AND DISCIPLINARYJURISDICTION UNDER THE STATUS OFFORCES AGREEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi51-102/5afi51-102.pdf,2021-01-30 20:24
Furnishing Information for Japanese Tax Officials Relative to Nonappropriated Fund (NAF) Activities,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5_af/publication/5afji34-201/5afji34-201.pdf,2021-01-30 20:24
COMMERCIAL TELECOMMUNICATIONS SERVICES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afji64-109/5afji64-109.pdf,2021-01-30 20:24
Standards of Ethical Conduct for Air Force Employees,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afva36-1/5afva36-1.pdf,2021-01-30 20:24
THE AIR FORCE INSTALLATION SECURITY PROGRAM (PA),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5_af/publication/afi31-101_pacafsup_5afsup_i/afi31-101_pacafsup_5afsup.pdf,2021-01-30 20:24
HANDLING REQUESTS FOR POLITICAL ASYLUM AND TEMPORARY REFUGE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/afi51-704_5afsup_i/afi51-704_5afsup_i.pdf,2021-01-30 20:24
"Status of Forces Policies, Procedures, and Information",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5_af/publication/afji51-706_5afsup1/afji51-706_5afsup1.pdf,2021-01-30 20:24
ANTITERRORISM (AT) PROGRAM IMPLEMENTATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/dodio-2000.16v1_afi10-245-o_pacafsup_5afsup/dodio-2000.16v1_afi10-245-o_pacafsup_5afsup_(wms).pdf,2021-01-30 20:24
FORCE PROTECTION (FP) MISSION AND ANTITERRORISM (AT) PROGRAM FOR AIR FORCES NORTHERN AREA OF RESPONSIBILITY,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/1af/publication/1afi10-222-o/1afi10-222-o.pdf,2021-01-30 20:24
"MISSION, COMMAND RELATIONSHIPS AND PERSONNEL STATUS WITHIN CONR-1 AF (AFNORTH) - GAINED UNITS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/1af/publication/1afi38-1/1afi38-1.pdf,2021-01-30 20:24
FOURTEENTH AIR FORCE RECOGNITION PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/14af/publication/14afi36-2801/14afi36-2801.pdf,2021-01-30 20:24
MANAGEMENT OF FINANCIAL SERVICES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/19af/publication/19afi65-101/19afi65-101.pdf,2021-01-30 20:24
QUARTERLY AND ANNUAL MILITARY AND CIVLIAN AWARDS PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/2af/publication/2afi36-2801/2afi36-2801.pdf,2021-01-30 20:24
