Title,source,source link,link,link date,downloaded on,download success,file name,file path
11 AF OPERATIONAL SUPPORT AIRLIFT (OSA) MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11af/publication/11afi13-206/11afi13-206.pdf,2021-01-30 20:24,2021-01-30 20:31,True,11afi13-206.pdf,../documents/pdfs/AF_epubs/numberedAFB/11afi13-206.pdf
PERSONNEL STATUS FOR NATIONAL GUARD MEMBERS DURING RESCUE MISSIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/11afi36-2001/11afi36-2001.pdf,2021-01-30 20:24,2021-01-30 20:31,True,11afi36-2001.pdf,../documents/pdfs/AF_epubs/numberedAFB/11afi36-2001.pdf
PERSONNEL STATUS WITHIN THE 176TH AIR CONTROL SQUADRON (ANG),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/11afi38-101/11afi38-101.pdf,2021-01-30 20:24,2021-01-30 20:31,True,11afi38-101.pdf,../documents/pdfs/AF_epubs/numberedAFB/11afi38-101.pdf
ANNUAL CERTIFICATION OF PRSC AIRCRAFT ARRESTING SYSTEMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11af/publication/afi32-1043_11afsup/afi32-1043_11afsup.pdf,2021-01-30 20:24,2021-01-30 20:31,True,afi32-1043_11afsup.pdf,../documents/pdfs/AF_epubs/numberedAFB/afi32-1043_11afsup.pdf
TEMPORARY HOUSING ALLOWANCE (TLA) IN ALASKA,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/jftrv1_11afsup/jftrv1_11afsup.pdf,2021-01-30 20:24,2021-01-30 20:31,True,jftrv1_11afsup.pdf,../documents/pdfs/AF_epubs/numberedAFB/jftrv1_11afsup.pdf
ENVIRONMENTAL SUPPORT FOR AIR SOVEREIGNTY AND AIR DEFENSE,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11_af/publication/nr15-1_anrsup1/nr15-1_anrsup1.pdf,2021-01-30 20:24,2021-01-30 20:31,True,nr15-1_anrsup1.pdf,../documents/pdfs/AF_epubs/numberedAFB/nr15-1_anrsup1.pdf
FIFTH AIR FORCE OPERATIONAL AND UNUSUAL EVENT REPORTING PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5_af/publication/5afi10-206/5afi10-206.pdf,2021-01-30 20:24,2021-01-30 20:31,True,5afi10-206.pdf,../documents/pdfs/AF_epubs/numberedAFB/5afi10-206.pdf
EMPLOYMENT AND REPORTING OF THIRD COUNTRY NATIONALS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-101/5afi36-101.pdf,2021-01-30 20:24,2021-01-30 20:31,True,5afi36-101.pdf,../documents/pdfs/AF_epubs/numberedAFB/5afi36-101.pdf
PERSONNEL ADMINISTRATION OF MASTER LABOR CONTRACT (MLC) AND INDIRECT HIRE AGREEMENT (IHA) EMPLOYEES (PA),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-102/5afi36-102.pdf,2021-01-30 20:24,2021-01-30 20:31,True,5afi36-102.pdf,../documents/pdfs/AF_epubs/numberedAFB/5afi36-102.pdf
INDIRECT HIRE AGREEMENT (IHA) PERSONNEL AND EMPLOYMENT COST REPORT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/5af/publication/5afi36-108/5afi36-108_release_doc.pdf,2021-01-30 20:24,2021-01-30 20:31,True,5afi36-108_release_doc.pdf,../documents/pdfs/AF_epubs/numberedAFB/5afi36-108_release_doc.pdf
