Title,source,source link,link,link date,downloaded on,download success,file name,file path
THE AIR FORCE INSPECTION SYSTEM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afspc/publication/afi90-201_afspcsup/afi90-201_afspcsup.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afi90-201_afspcsup.pdf,../documents/pdfs/AF_epubs/space_force/afi90-201_afspcsup.pdf
SUPPORT TO FAA-LICENSED SPACE LAUNCH ACTIVITIES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/afspci10-1215/afspci10-1215.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspci10-1215.pdf,../documents/pdfs/AF_epubs/space_force/afspci10-1215.pdf
LAUNCH & RANGE OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/afspci13-610/afspci13-610.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspci13-610.pdf,../documents/pdfs/AF_epubs/space_force/afspci13-610.pdf
"Launch Forecasting, Planning, and Scheduling Procedures",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/afspci13-613/afspci13-613.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspci13-613.pdf,../documents/pdfs/AF_epubs/space_force/afspci13-613.pdf
LAUNCH AND RANGE SAFETY PROGRAM POLICY AND REQUIREMENTS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afspc/publication/afspci91-701/afspci91-701.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspci91-701.pdf,../documents/pdfs/AF_epubs/space_force/afspci91-701.pdf
RANGE SAFETY USER REQUIREMENTS MANUAL - AIR FORCE SPACE COMMAND RANGE SAFETY POLICIES AND PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/afspcman91-710v1/afspcman91-710v1.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspcman91-710v1.pdf,../documents/pdfs/AF_epubs/space_force/afspcman91-710v1.pdf
"RANGE USER LAUNCH SAFETY REQUIREMENTS MANUAL VOLUME 2, FLIGHT SAFETY REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/ussf/publication/afspcman91-710v2/afspcman91-710v2.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspcman91-710v2.pdf,../documents/pdfs/AF_epubs/space_force/afspcman91-710v2.pdf
"RANGE SAFETY USER REQUIREMENTS MANUAL VOLUME 3 - LAUNCH VEHICLES,PAYLOADS, AND GROUND SUPPORT SYSTEMS REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afspc/publication/afspcman91-710v3/afspcman91-710v3.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspcman91-710v3.pdf,../documents/pdfs/AF_epubs/space_force/afspcman91-710v3.pdf
"RANGE SAFETY USER REQUIREMENTS MANUAL, AIRBORNE FLIGHT SAFETY SYSTEM DESIGN, TEST, AND DOCUMENTATION REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afspc/publication/afspcman91-710v4/afspcman91-710v4.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspcman91-710v4.pdf,../documents/pdfs/AF_epubs/space_force/afspcman91-710v4.pdf
"RANGE SAFETY USER REQUIREMENTS MANUAL VOLUME 5 – FACILITIES, STRUCTURES AND REUSABLE LAUNCH VEHICLE/REENTRY VEHICLE OPERATING LOCATION REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afspc/publication/afspcman91-710v5/afspcman91-710v5.pdf,2021-01-29 19:48,2021-01-29 22:52,True,afspcman91-710v5.pdf,../documents/pdfs/AF_epubs/space_force/afspcman91-710v5.pdf
