Title,source,source link,link,link date,downloaded on,download success,file name,file path
MEDICAL SUPPORT TO FAMILY MEMBER RELOCATION AND EXCEPTIONAL FAMILY MEMBER PROGRAM (EFMP),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/11wg/publication/afi40-701_11wgsup/afi40-701_11wgsup.pdf,2021-01-29 21:21,2021-01-29 22:43,True,afi40-701_11wgsup.pdf,../documents/pdfs/AF_epubs/units/afi40-701_11wgsup.pdf
AIR TRAFFIC CONTROL AND AIRFIELD OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwi13-204/12ftwi13-204.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwi13-204.pdf,../documents/pdfs/AF_epubs/units/12ftwi13-204.pdf
WEATHER SUPPORT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwi15-101/12ftwi15-101.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwi15-101.pdf,../documents/pdfs/AF_epubs/units/12ftwi15-101.pdf
TOOL CONTROL AND EQUIPMENT MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwi21-102/12ftwi21-102.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwi21-102.pdf,../documents/pdfs/AF_epubs/units/12ftwi21-102.pdf
"CRASHED, DAMAGED, OR DISABLED AIRCRAFT RECOVERY (CDDAR)",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwi21-103/12ftwi21-103.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwi21-103.pdf,../documents/pdfs/AF_epubs/units/12ftwi21-103.pdf
FOREIGN OBJECT DAMAGE PREVENTION AND DROPPED OBJECT PREVENTION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwi21-104/12ftwi21-104.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwi21-104.pdf,../documents/pdfs/AF_epubs/units/12ftwi21-104.pdf
FUNCTIONAL/OPERATIONAL CHECK FLIGHT AND HIGH-SPEED TAXI OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwi21-105/12ftwi21-105.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwi21-105.pdf,../documents/pdfs/AF_epubs/units/12ftwi21-105.pdf
Inspector General Complaints Resolution Program,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwva90-301/12ftwva90-301.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwva90-301.pdf,../documents/pdfs/AF_epubs/units/12ftwva90-301.pdf
12 FTW MISHAP REQPORTING PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/12ftwva91-201/12ftwva91-201.pdf,2021-01-29 21:21,2021-01-29 22:43,True,12ftwva91-201.pdf,../documents/pdfs/AF_epubs/units/12ftwva91-201.pdf
CONTINGENCY PLANS MANAGEMENT,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/aetci10-401_12ftwsup/aetci10-401_12ftwsup.pdf,2021-01-29 21:21,2021-01-29 22:43,True,aetci10-401_12ftwsup.pdf,../documents/pdfs/AF_epubs/units/aetci10-401_12ftwsup.pdf
RUNWAY SUPERVISORY UNIT (RSU) OPERATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/aetci11-204_12ftwsup/aetci11-204_12ftwsup.pdf,2021-01-29 21:21,2021-01-29 22:43,True,aetci11-204_12ftwsup.pdf,../documents/pdfs/AF_epubs/units/aetci11-204_12ftwsup.pdf
AIRFIELD DRIVING (FOUO),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/afi13-213_12ftwsup/for_official_use_only.pdf,2021-01-29 21:21,2021-01-29 22:43,True,for_official_use_only.pdf,../documents/pdfs/AF_epubs/units/for_official_use_only.pdf
Aircraft And Equipment Maintenance Management,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/afi21-101_aetcsup_12ftwsup/afi21-101_aetcsup_12_ftwsup.pdf,2021-01-29 21:21,2021-01-29 22:43,True,afi21-101_aetcsup_12_ftwsup.pdf,../documents/pdfs/AF_epubs/units/afi21-101_aetcsup_12_ftwsup.pdf
PublicationsandFormsManagement,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/12ftw/publication/afi33-360_12ftwsup/afi33-360_12ftwsup.pdf,2021-01-29 21:21,2021-01-29 22:44,True,afi33-360_12ftwsup.pdf,../documents/pdfs/AF_epubs/units/afi33-360_12ftwsup.pdf
14th Flying Training Wing MEO Flyer,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/,2021-01-29 21:21,,False,None,None
Casualty Services,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/15abw/publication/afi36-3002_15abwsup/afi36-3002_15abwsup.pdf,2021-01-29 21:21,2021-01-29 22:44,True,afi36-3002_15abwsup.pdf,../documents/pdfs/AF_epubs/units/afi36-3002_15abwsup.pdf
AIRFIELD DRIVER'S PROGRAM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/15aw/publication/15awi13-201/15awi13-201.pdf,2021-01-29 21:21,2021-01-29 22:44,True,15awi13-201.pdf,../documents/pdfs/AF_epubs/units/15awi13-201.pdf
"RECOVERY OF CRASHED, DAMAGED, OR DISABLED AIRCRAFT",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/15aw/publication/15awi21-107/15awi21-107.pdf,2021-01-29 21:21,2021-01-29 22:44,True,15awi21-107.pdf,../documents/pdfs/AF_epubs/units/15awi21-107.pdf
