Title,source,source link,link,link date,downloaded on,download success,file name,file path
COVID-19: Potential Implications for International Security Environment-Overview of Issues and Further Reading for Congress,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/R/R46336/R46336.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,R46336.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/R46336.pdf
Defense Primer: Budgeting for National and Defense Intelligence,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF10524/IF10524.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF10524.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF10524.pdf
Defense Primer: Intelligence Support to Military Operations,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF10574/IF10574.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF10574.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF10574.pdf
Defense Primer: Military Commissaries and Exchanges,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF11089/IF11089.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF11089.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF11089.pdf
Defense Primer: National and Defense Intelligence,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF10525/IF10525.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF10525.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF10525.pdf
Defense Primer: National Security Space Launch,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF11531/IF11531.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF11531.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF11531.pdf
Defense Primer: Under Secretary of Defense for Intelligence and Security,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF10523/IF10523.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF10523.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF10523.pdf
COVID-19 Relief Assistance to Small Businesses: Issues and Policy Options,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/R/R46284/R46284.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,R46284.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/R46284.pdf
Defense Primer: Ballistic Missile Defense,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IF/IF10541/IF10541.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IF10541.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IF10541.pdf
Planning and Paying for College: Federal Government Resources,CRS Reports,https://crsreports.congress.gov,https://crsreports.congress.gov/product/pdf/download/IN/IN11563/IN11563.pdf/,2021-01-30 11:51,2021-01-30 09:27,True,IN11563.pdf,../documents/pdfs/CRS_Reports/CRS_Reports/IN11563.pdf
