Title,source,source link,link,link date,downloaded on,download success,file name,file path
Telecommunications Service for National Capital Region,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a001p.pdf,2021-01-29 14:31,2021-01-30 13:13,True,a001p.pdf,../documents/pdfs/DoD/admin_instructions/a001p.pdf
Employment of Experts and Consultants,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a2p.pdf?ver=2019-02-13-145200-657,2021-01-29 14:31,2021-01-30 13:13,True,a2p.pdf,../documents/pdfs/DoD/admin_instructions/a2p.pdf
Disciplinary and Adverse Actions,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/AI08_2016.pdf,2021-01-29 14:31,2021-01-30 13:13,True,AI08_2016.pdf,../documents/pdfs/DoD/admin_instructions/AI08_2016.pdf
Processing Complaints of Discrimination,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a9p.pdf?ver=2019-02-25-104539-627,2021-01-29 14:31,2021-01-30 13:13,True,a9p.pdf,../documents/pdfs/DoD/admin_instructions/a9p.pdf
OSD Records and Information Management Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/ai15p.PDF?ver=ercXTaAQnBUQpiR0FQ48HA%3d%3d,2021-01-29 14:31,,False,None,None
"Civilian Employee Alcohol and Drug Abuse Prevention, Testing, and Control Program",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a17p.pdf?ver=2019-02-13-105646-227,2021-01-29 14:31,2021-01-30 13:13,True,a17p.pdf,../documents/pdfs/DoD/admin_instructions/a17p.pdf
Personnel Security Program and Civilian Personnel Suitability Investigation Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a023p.pdf,2021-01-29 14:31,2021-01-30 13:13,True,a023p.pdf,../documents/pdfs/DoD/admin_instructions/a023p.pdf
Control of North Atlantic Treaty Organization (NATO) Classified Documents,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a27p.pdf?ver=2019-02-13-144754-080,2021-01-29 14:31,2021-01-30 13:13,True,a27p.pdf,../documents/pdfs/DoD/admin_instructions/a27p.pdf
"Overtime, Prescribed Hours of Duty, and Alternative Work Schedules for Civilian Employees",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a28p.pdf?ver=2019-02-14-151542-520,2021-01-29 14:31,2021-01-30 13:13,True,a28p.pdf,../documents/pdfs/DoD/admin_instructions/a28p.pdf
Incentive and Honorary Awards Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a029p.pdf?ver=2018-08-10-072409-503,2021-01-29 14:31,2021-01-30 13:13,True,a029p.pdf,../documents/pdfs/DoD/admin_instructions/a029p.pdf
Force Protection of the Pentagon Reservation,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://directives.whs.mil/issuances/AI30_FOUO.PDF,2021-01-29 14:31,,False,None,None
Equal Employment Opportunity (EEO) and Diversity Programs,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a31p.pdf?ver=2019-02-14-151517-427,2021-01-29 14:31,2021-01-30 13:15,True,a31p.pdf,../documents/pdfs/DoD/admin_instructions/a31p.pdf
Merit Promotion Plan,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a33p.pdf?ver=2019-02-14-151518-147,2021-01-29 14:31,2021-01-30 13:15,True,a33p.pdf,../documents/pdfs/DoD/admin_instructions/a33p.pdf
Probationary Period for Newly Appointed Managers and Supervisors,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a35p.pdf?ver=2019-02-14-151518-210,2021-01-29 14:31,2021-01-30 13:15,True,a35p.pdf,../documents/pdfs/DoD/admin_instructions/a35p.pdf
Employee Grievances,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a037p.pdf,2021-01-29 14:31,2021-01-30 13:15,True,a037p.pdf,../documents/pdfs/DoD/admin_instructions/a037p.pdf
Employee Learning and Development,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a040p.pdf?ver=2017-07-19-142854-093,2021-01-29 14:31,2021-01-30 13:15,True,a040p.pdf,../documents/pdfs/DoD/admin_instructions/a040p.pdf
Employment of Retired Members of the U.S. Armed Forces,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a045p.pdf,2021-01-29 14:31,2021-01-30 13:15,True,a045p.pdf,../documents/pdfs/DoD/admin_instructions/a045p.pdf
Historical Research in the Files of the Office of the Secretary of Defense,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a50p.pdf?ver=2019-02-14-151518-520,2021-01-29 14:31,2021-01-30 13:15,True,a50p.pdf,../documents/pdfs/DoD/admin_instructions/a50p.pdf
Printing and Reproduction Services,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a58p.pdf?ver=2019-02-14-151518-147,2021-01-29 14:31,2021-01-30 13:15,True,a58p.pdf,../documents/pdfs/DoD/admin_instructions/a58p.pdf
Restrictions on the Employment of Relatives,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a65p.pdf?ver=2019-02-14-151518-177,2021-01-29 14:31,2021-01-30 13:15,True,a65p.pdf,../documents/pdfs/DoD/admin_instructions/a65p.pdf
Leave Administration,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a67p.pdf?ver=2019-02-14-151518-193,2021-01-29 14:31,2021-01-30 13:15,True,a67p.pdf,../documents/pdfs/DoD/admin_instructions/a67p.pdf
Washington Headquarters Services Issuance of Building Circulars,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a68p.pdf?ver=2019-02-14-151518-193,2021-01-29 14:31,2021-01-30 13:15,True,a68p.pdf,../documents/pdfs/DoD/admin_instructions/a68p.pdf
Reduction in Force,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a071p.pdf,2021-01-29 14:31,2021-01-30 13:15,True,a071p.pdf,../documents/pdfs/DoD/admin_instructions/a071p.pdf
"Welfare and Recreation Association of OSD, Office of the Chairman of the Joint Chiefs of Staff and the Joint Staff, and the Washington Headquarters Services (WHS)",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a72p.pdf?ver=2019-02-14-151517-850,2021-01-29 14:31,2021-01-30 13:15,True,a72p.pdf,../documents/pdfs/DoD/admin_instructions/a72p.pdf
OSD/Joint Staff (JS) Privacy Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a81p.pdf?ver=2019-02-25-104539-627,2021-01-29 14:31,2021-01-30 13:15,True,a81p.pdf,../documents/pdfs/DoD/admin_instructions/a81p.pdf
OSD Senior and Junior Enlisted Service Members of the Year Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a082p.pdf?ver=2019-07-05-072723-730,2021-01-29 14:31,2021-01-30 13:15,True,a082p.pdf,../documents/pdfs/DoD/admin_instructions/a082p.pdf
Pentagon Reservation Vehicle Parking Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a088p.pdf,2021-01-29 14:31,2021-01-30 13:15,True,a088p.pdf,../documents/pdfs/DoD/admin_instructions/a088p.pdf
Personal Property Management and Accountability,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a94p.pdf?ver=2019-02-25-104540-203,2021-01-29 14:31,2021-01-30 13:15,True,a94p.pdf,../documents/pdfs/DoD/admin_instructions/a94p.pdf
Labor-Management Relations,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a99p.pdf?ver=2019-02-25-104539-140,2021-01-29 14:31,2021-01-30 13:15,True,a99p.pdf,../documents/pdfs/DoD/admin_instructions/a99p.pdf
Gifts from Foreign Governments,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a100p.pdf,2021-01-29 14:31,2021-01-30 13:15,True,a100p.pdf,../documents/pdfs/DoD/admin_instructions/a100p.pdf
Personnel and Data Management Information Reporting Policies and Procedures for Implementation of the Defense Acquisition Workforce Improvement Act (DAWIA),Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a101p.pdf?ver=2019-02-26-125739-303,2021-01-29 14:31,2021-01-30 13:15,True,a101p.pdf,../documents/pdfs/DoD/admin_instructions/a101p.pdf
Office of the Secretary of Defense (OSD) Federal Register (FR) System,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a102p.pdf?ver=jPSfJ-FUsD4wqoSpylpQ_A%3d%3d,2021-01-29 14:31,2021-01-30 13:15,True,a102p.pdf,../documents/pdfs/DoD/admin_instructions/a102p.pdf
"Exhibits, Artwork, and Signs on the Pentagon Reservation",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/admin_inst/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/ai/a103p.pdf?ver=2019-05-13-131832-863,2021-01-29 14:31,2021-01-30 13:15,True,a103p.pdf,../documents/pdfs/DoD/admin_instructions/a103p.pdf
