Title,source,source link,link,link date,downloaded on,download success,file name,file path
Active Duty Service Determinations for Civilian or Contractual Groups,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/100020p.pdf,2021-01-29 14:32,2021-01-30 12:43,True,100020p.pdf,../documents/pdfs/DoD/directives/100020p.pdf
DoD Passport and Passport Agent Services,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/100021e.pdf?ver=2019-04-03-143902-207,2021-01-29 14:32,2021-01-30 12:43,True,100021e.pdf,../documents/pdfs/DoD/directives/100021e.pdf
Support for Non-Federal Entities Authorized To Operate on DoD Installations,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/100026p.pdf,2021-01-29 14:32,2021-01-30 12:43,True,100026p.pdf,../documents/pdfs/DoD/directives/100026p.pdf
Gifts and Decorations from Foreign Governments,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/100513p.pdf?ver=2019-04-03-141601-737,2021-01-29 14:32,2021-01-30 12:43,True,100513p.pdf,../documents/pdfs/DoD/directives/100513p.pdf
DoD Student Meal Program,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/101505p.pdf?ver=2019-04-29-080319-070,2021-01-29 14:32,2021-01-30 12:43,True,101505p.pdf,../documents/pdfs/DoD/directives/101505p.pdf
Nondiscrimination on the Basis of Handicap in Programs and Activities Assisted or Conducted by the Department of Defense,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/102001p.pdf?ver=2019-04-29-080313-007,2021-01-29 14:32,2021-01-30 12:43,True,102001p.pdf,../documents/pdfs/DoD/directives/102001p.pdf
Diversity Management and Equal Opportunity In The DoD,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/102002p.pdf?ver=2019-03-11-081757-483,2021-01-29 14:32,2021-01-30 12:43,True,102002p.pdf,../documents/pdfs/DoD/directives/102002p.pdf
Victim and Witness Assistance,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/103001p.pdf,2021-01-29 14:32,2021-01-30 12:43,True,103001p.pdf,../documents/pdfs/DoD/directives/103001p.pdf
Guidance for Manpower Management,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/110004p.pdf,2021-01-29 14:32,2021-01-30 12:43,True,110004p.pdf,../documents/pdfs/DoD/directives/110004p.pdf
United States Military Entrance Processing Command (USMEPCOM),Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodd/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/114502Ep.pdf?ver=2018-05-22-091811-480,2021-01-29 14:32,2021-01-30 12:43,True,114502Ep.pdf,../documents/pdfs/DoD/directives/114502Ep.pdf
