Title,source,source link,link,link date,downloaded on,download success,file name,file path
DoD Identification (ID) Cards: ID Card Life-Cycle,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/100013_vol1.pdf?ver=2020-07-28-124331-653,2021-01-29 14:34,2021-01-30 12:57,True,100013_vol1.pdf,../documents/pdfs/DoD/manuals/100013_vol1.pdf
"DoD Identification (ID) Cards: Benefits For Members Of The Uniformed Services, Their Dependents, And Other Eligible Individuals",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/100013_vol2.pdf?ver=2020-08-05-103656-203,2021-01-29 14:34,2021-01-30 12:57,True,100013_vol2.pdf,../documents/pdfs/DoD/manuals/100013_vol2.pdf
"Passport And Passport Agent Services
(This website is not authorized to post controlled documents. DoD PKI certificate required to access this document.)",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://directives.whs.mil/issuances/O100021m.pdf,2021-01-29 14:34,,False,None,None
"DoD Civilian Morale, Welfare And Recreation (MWR) Activities And Supporting Nonappropriated Fund Instrumentalities (NAFIS) Regulation",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/101508r.pdf,2021-01-29 14:34,2021-01-30 12:59,True,101508r.pdf,../documents/pdfs/DoD/manuals/101508r.pdf
Military Entrance Processing Station (MEPS),Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/114502m.pdf?ver=2018-07-23-121425-917,2021-01-29 14:34,2021-01-30 12:59,True,114502m.pdf,../documents/pdfs/DoD/manuals/114502m.pdf
"Reserve Component Facilities, Construction, and Real Property Programs",Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/122508m.pdf?ver=2020-02-21-125114-430,2021-01-29 14:34,2021-01-30 12:59,True,122508m.pdf,../documents/pdfs/DoD/manuals/122508m.pdf
DoD Occupational Conversion Index,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/131201i.pdf,2021-01-29 14:34,2021-01-30 12:59,True,131201i.pdf,../documents/pdfs/DoD/manuals/131201i.pdf
DoD Sentence Computation Manual,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/132507m.pdf?ver=2018-10-04-085915-970,2021-01-29 14:34,2021-01-30 12:59,True,132507m.pdf,../documents/pdfs/DoD/manuals/132507m.pdf
Disability Evaluation System (DES) Manual: General Information and Legacy Disability Evaluation System (LDES) Time Standards,Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/133218m_vol1.pdf?ver=2020-08-21-111510-570,2021-01-29 14:34,2021-01-30 12:59,True,133218m_vol1.pdf,../documents/pdfs/DoD/manuals/133218m_vol1.pdf
Disability Evaluation System (DES) Manual: Integrated Disability Evaluation System (IDES),Executive Services Directorate,https://www.esd.whs.mil/Directives/issuances/dodm/,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/133218m_vol2.pdf,2021-01-29 14:34,2021-01-30 12:59,True,133218m_vol2.pdf,../documents/pdfs/DoD/manuals/133218m_vol2.pdf
