Title,source,source link,link,link date,downloaded on,download success,file name,file path
Promoting Beautiful Federal Civic Architecture,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-23/pdf/2020-28605.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-28605.pdf,documents/pdfs/EO/EO/2020-28605.pdf
Promoting Redemption of Savings Bonds,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-23/pdf/2020-28606.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-28606.pdf,documents/pdfs/EO/EO/2020-28606.pdf
Increasing Economic and Geographic Mobility,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-17/pdf/2020-27948.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27948.pdf,documents/pdfs/EO/EO/2020-27948.pdf
"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2020",Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-16/pdf/2020-27807.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27807.pdf,documents/pdfs/EO/EO/2020-27807.pdf
Providing an Order of Succession Within the Department of Defense,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-15/pdf/2020-27739.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27739.pdf,documents/pdfs/EO/EO/2020-27739.pdf
Rebranding United States Foreign Assistance To Advance American Influence,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-15/pdf/2020-27740.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27740.pdf,documents/pdfs/EO/EO/2020-27740.pdf
Ensuring Access to United States Government COVID-19 Vaccines,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-11/pdf/2020-27455.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27455.pdf,documents/pdfs/EO/EO/2020-27455.pdf
Governance and Integration of Federal Mission Resilience,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-10/pdf/2020-27353.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27353.pdf,documents/pdfs/EO/EO/2020-27353.pdf
Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-12-08/pdf/2020-27065.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-27065.pdf,documents/pdfs/EO/EO/2020-27065.pdf
Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,Federal Register,https://www.federalregister.gov/presidential-documents/executive-orders,https://www.govinfo.gov/content/pkg/FR-2020-11-17/pdf/2020-25459.pdf,2021-01-30 13:48,2021-01-30 13:44,True,2020-25459.pdf,documents/pdfs/EO/EO/2020-25459.pdf
